epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,311.309,0.7614,0.58509,0.8922,0.94437,1,0.9909,0.69906,1.119,0.68113,1.07522,0.000877263,0.000877263,0.000877263
119,313.938,0.74535,0.58287,0.88301,0.9814,1,0.995,0.72699,1.09828,0.66611,1.05972,0.000872547,0.000872547,0.000872547
120,316.561,0.74292,0.58516,0.88439,0.95419,0.9942,0.98449,0.69323,1.08212,0.65506,1.10269,0.000867832,0.000867832,0.000867832
121,319.135,0.68823,0.542,0.86329,0.9569,0.96937,0.98202,0.68439,1.10252,0.65942,1.09672,0.000863116,0.000863116,0.000863116
122,321.718,0.72788,0.57289,0.8575,0.97739,0.99245,0.995,0.65856,1.21341,0.65691,1.08626,0.0008584,0.0008584,0.0008584
123,324.38,0.7301,0.55318,0.87013,0.98303,1,0.995,0.69222,1.06824,0.63062,1.10064,0.000853685,0.000853685,0.000853685
124,326.967,0.71137,0.56926,0.87208,0.98206,0.99546,0.995,0.67885,1.11385,0.68314,1.11923,0.000848969,0.000848969,0.000848969
125,329.566,0.70948,0.54694,0.8726,0.98641,0.98752,0.995,0.66698,1.16488,0.7333,1.11936,0.000844253,0.000844253,0.000844253
126,332.138,0.71568,0.55587,0.8861,0.98628,0.99799,0.995,0.68478,1.13155,0.68514,1.13187,0.000839537,0.000839537,0.000839537
127,334.761,0.70081,0.56742,0.87898,0.99029,1,0.995,0.68444,1.08329,0.67239,1.08718,0.000834822,0.000834822,0.000834822
128,337.365,0.699,0.53949,0.87653,0.98831,0.9942,0.995,0.70326,1.06025,0.64907,1.0856,0.000830106,0.000830106,0.000830106
129,339.975,0.64957,0.5327,0.8751,0.9898,0.99236,0.995,0.71178,1.05609,0.63952,1.08293,0.00082539,0.00082539,0.00082539
130,342.592,0.65203,0.51961,0.87,0.9883,1,0.995,0.68629,1.09551,0.62986,1.09493,0.000820675,0.000820675,0.000820675
131,345.202,0.63984,0.49263,0.87018,0.97745,1,0.995,0.68858,1.14172,0.64039,1.09895,0.000815959,0.000815959,0.000815959
132,347.832,0.6951,0.53244,0.86801,0.98371,1,0.995,0.69242,1.12796,0.65783,1.07939,0.000811243,0.000811243,0.000811243
133,350.464,0.66349,0.52353,0.84631,0.97845,0.9961,0.995,0.70449,1.08078,0.69422,1.06568,0.000806528,0.000806528,0.000806528
134,353.039,0.66587,0.52677,0.86294,0.9732,0.97222,0.99295,0.7137,1.0814,0.68008,1.07906,0.000801812,0.000801812,0.000801812
135,355.655,0.64916,0.52211,0.85939,0.98288,0.99544,0.995,0.7192,1.07907,0.66006,1.11366,0.000797096,0.000797096,0.000797096
136,358.264,0.64256,0.52923,0.87234,0.9895,1,0.995,0.69054,1.11328,0.63823,1.06502,0.00079238,0.00079238,0.00079238
137,360.939,0.66441,0.53496,0.88471,0.98986,0.9983,0.995,0.69337,1.14182,0.64866,1.08494,0.000787665,0.000787665,0.000787665
138,363.515,0.6634,0.53271,0.86683,0.98722,1,0.995,0.68193,1.13503,0.61421,1.06725,0.000782949,0.000782949,0.000782949
139,366.197,0.67677,0.52689,0.87679,0.99188,1,0.995,0.69521,1.05645,0.58617,1.04344,0.000778233,0.000778233,0.000778233
140,368.786,0.65564,0.51099,0.8665,0.99085,1,0.995,0.70285,1.04129,0.58239,1.05637,0.000773518,0.000773518,0.000773518
141,371.391,0.66036,0.51836,0.86228,0.9905,1,0.995,0.7087,1.10998,0.56896,1.10662,0.000768802,0.000768802,0.000768802
142,374.011,0.63903,0.51253,0.86739,0.98991,1,0.995,0.70012,1.12002,0.59046,1.11578,0.000764086,0.000764086,0.000764086
143,376.638,0.6461,0.48588,0.85856,0.98233,0.99751,0.995,0.72625,1.00678,0.60805,1.04772,0.000759371,0.000759371,0.000759371
144,379.294,0.68271,0.51452,0.86629,0.97889,0.99656,0.995,0.71973,1.05863,0.63517,1.11109,0.000754655,0.000754655,0.000754655
145,381.868,0.6721,0.51207,0.85962,0.97807,0.99701,0.995,0.71746,1.02939,0.62091,1.09898,0.000749939,0.000749939,0.000749939
146,384.479,0.67251,0.53076,0.86926,0.95168,0.97222,0.95444,0.69062,1.04802,0.69498,1.10363,0.000745223,0.000745223,0.000745223
147,387.102,0.66313,0.51755,0.86929,0.94944,0.99735,0.9909,0.71326,1.03476,0.62928,1.05794,0.000740508,0.000740508,0.000740508
148,389.69,0.66927,0.5193,0.87256,0.94248,1,0.995,0.71126,1.06928,0.61197,1.0782,0.000735792,0.000735792,0.000735792
149,392.317,0.7053,0.52858,0.8644,0.95475,1,0.99295,0.69493,0.99107,0.62011,1.04164,0.000731076,0.000731076,0.000731076
150,394.895,0.63887,0.51467,0.86648,0.93931,0.97222,0.9615,0.69641,1.03094,0.6088,1.07357,0.000726361,0.000726361,0.000726361
151,397.539,0.65499,0.51765,0.88114,0.97594,1,0.995,0.70321,0.99945,0.56266,1.02784,0.000721645,0.000721645,0.000721645
152,400.138,0.62678,0.5014,0.84418,0.9663,0.97222,0.96611,0.70375,1.02051,0.59951,1.02754,0.000716929,0.000716929,0.000716929
153,402.769,0.61942,0.49873,0.86488,0.96596,0.97222,0.96611,0.6996,1.04267,0.59624,1.05306,0.000712214,0.000712214,0.000712214
