epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,170.4,1.05485,0.70825,0.97395,0.91971,0.94169,0.93897,0.61864,1.22285,0.69512,1.26393,0.00095743,0.00095743,0.00095743
102,172.041,1.02705,0.73426,0.98737,0.92443,0.94771,0.93904,0.6265,1.20961,0.71114,1.26222,0.000952714,0.000952714,0.000952714
103,173.712,1.00078,0.68927,0.98586,0.90813,0.96163,0.94812,0.64945,1.17608,0.68071,1.22157,0.000947999,0.000947999,0.000947999
104,175.404,0.97115,0.67674,0.99675,0.92081,0.9676,0.94171,0.61893,1.26938,0.7063,1.30512,0.000943283,0.000943283,0.000943283
105,177.08,1.0412,0.7289,0.98124,0.90399,0.96151,0.95601,0.61142,1.29092,0.74085,1.25791,0.000938567,0.000938567,0.000938567
106,178.809,0.96635,0.69887,0.97574,0.93225,0.96973,0.94126,0.62753,1.29827,0.72573,1.35438,0.000933851,0.000933851,0.000933851
107,180.452,0.99845,0.73002,0.97472,0.95502,0.93379,0.94591,0.66822,1.12041,0.67637,1.23608,0.000929136,0.000929136,0.000929136
108,182.091,0.95575,0.6844,0.9438,0.95153,0.94444,0.95017,0.68436,1.08784,0.66386,1.21712,0.00092442,0.00092442,0.00092442
109,183.808,0.9445,0.68787,0.96585,0.93353,0.96225,0.95444,0.67813,1.08888,0.67679,1.19378,0.000919704,0.000919704,0.000919704
110,185.476,0.93984,0.65928,0.94244,0.92919,0.9417,0.95462,0.6435,1.19392,0.71121,1.21462,0.000914989,0.000914989,0.000914989
111,187.16,1.00077,0.69051,0.96094,0.93791,0.98676,0.995,0.63625,1.24154,0.76747,1.25646,0.000910273,0.000910273,0.000910273
112,188.767,0.93032,0.66285,0.94949,0.94683,0.90543,0.94501,0.69075,1.10553,0.6698,1.22056,0.000905557,0.000905557,0.000905557
113,190.43,1.00684,0.68589,0.93867,0.91878,0.95545,0.94118,0.6782,1.11376,0.67586,1.21317,0.000900842,0.000900842,0.000900842
114,192.102,1.0039,0.67512,0.96928,0.95918,0.91083,0.93584,0.66849,1.16395,0.68165,1.31908,0.000896126,0.000896126,0.000896126
115,193.737,0.97955,0.6763,0.93461,0.95517,0.97222,0.97917,0.61761,1.36602,0.75885,1.41218,0.00089141,0.00089141,0.00089141
116,195.344,1.04503,0.6943,0.98136,0.94926,0.97222,0.97917,0.61662,1.37511,0.75897,1.41374,0.000886694,0.000886694,0.000886694
117,197.027,0.98751,0.65576,0.95371,0.93182,0.91636,0.93661,0.64475,1.20986,0.70574,1.31946,0.000881979,0.000881979,0.000881979
118,198.666,0.9436,0.64392,0.93588,0.87298,0.94444,0.92552,0.6349,1.19613,0.68563,1.303,0.000877263,0.000877263,0.000877263
119,200.355,0.97746,0.6723,0.93589,0.90582,0.94444,0.92828,0.64983,1.09728,0.65596,1.24013,0.000872547,0.000872547,0.000872547
120,202.004,0.92352,0.66352,0.93042,0.9262,0.92543,0.93743,0.62353,1.17156,0.65894,1.35554,0.000867832,0.000867832,0.000867832
121,203.627,0.96519,0.63672,0.92874,0.97974,0.96031,0.98833,0.62159,1.25683,0.68319,1.32124,0.000863116,0.000863116,0.000863116
122,205.281,0.99021,0.64119,0.9445,0.98464,0.96668,0.98833,0.64465,1.17867,0.69729,1.28521,0.0008584,0.0008584,0.0008584
123,206.904,0.91021,0.65517,0.96224,0.9551,0.97222,0.98272,0.65326,1.13487,0.64999,1.26479,0.000853685,0.000853685,0.000853685
124,208.504,0.93007,0.66848,0.94637,0.93956,0.97222,0.97549,0.66775,1.14273,0.67692,1.23203,0.000848969,0.000848969,0.000848969
125,210.189,0.94011,0.68183,0.9591,0.92742,0.95393,0.9779,0.64419,1.21814,0.64316,1.34484,0.000844253,0.000844253,0.000844253
126,211.87,0.89671,0.63687,0.93252,0.98306,0.9393,0.98305,0.66517,1.15731,0.65523,1.30606,0.000839537,0.000839537,0.000839537
127,213.568,0.91124,0.63464,0.93701,0.94443,0.97222,0.98295,0.66494,1.15708,0.65982,1.25911,0.000834822,0.000834822,0.000834822
128,215.17,0.87157,0.6176,0.93241,0.90274,0.94444,0.93906,0.64582,1.15953,0.65641,1.20223,0.000830106,0.000830106,0.000830106
129,216.826,0.86346,0.62516,0.92896,0.95925,0.93986,0.94934,0.64517,1.1839,0.6482,1.27467,0.00082539,0.00082539,0.00082539
130,218.47,0.92497,0.66546,0.93526,0.95593,0.94444,0.94333,0.65719,1.17425,0.65725,1.24181,0.000820675,0.000820675,0.000820675
131,220.143,0.86242,0.59763,0.9202,0.95526,0.96928,0.98494,0.64198,1.19456,0.66877,1.24432,0.000815959,0.000815959,0.000815959
132,221.817,0.86155,0.62444,0.92976,0.95014,0.97222,0.98897,0.65941,1.14821,0.67281,1.2206,0.000811243,0.000811243,0.000811243
133,223.509,0.89117,0.64661,0.93498,0.97662,0.97222,0.98967,0.66838,1.1349,0.62468,1.24403,0.000806528,0.000806528,0.000806528
134,225.194,0.8902,0.61956,0.93855,0.9855,0.96709,0.99295,0.6881,1.10869,0.61361,1.23187,0.000801812,0.000801812,0.000801812
135,226.85,0.89813,0.59149,0.91946,0.95683,0.97222,0.98272,0.69929,1.07076,0.61033,1.16467,0.000797096,0.000797096,0.000797096
136,228.533,0.8782,0.64167,0.93264,0.95561,0.97586,0.98654,0.67575,1.15115,0.61368,1.25666,0.00079238,0.00079238,0.00079238
137,230.283,0.88734,0.61626,0.93085,0.95336,0.97596,0.98859,0.67461,1.13936,0.61328,1.23806,0.000787665,0.000787665,0.000787665
138,231.991,0.85241,0.58026,0.93032,0.92765,0.97222,0.94635,0.62014,1.20858,0.66279,1.22614,0.000782949,0.000782949,0.000782949
139,233.711,0.87926,0.62367,0.92244,0.92537,1,0.98013,0.63235,1.19195,0.64527,1.23746,0.000778233,0.000778233,0.000778233
140,235.322,0.92922,0.64817,0.95558,0.93292,1,0.99295,0.65003,1.22276,0.64998,1.30267,0.000773518,0.000773518,0.000773518
141,236.966,0.87041,0.61071,0.95281,0.86767,0.94444,0.94262,0.64883,1.17447,0.62559,1.32527,0.000768802,0.000768802,0.000768802
